name,No Data Processing,No Data Processing,No Data Processing,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA,Using Normalisation,Using Normalisation,Using Normalisation,Using PCA,Using PCA,Using PCA,Using Transform,Using Transform,Using Transform
cluster_size,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5
Silhouette,0.5526000261306763,0.49720001220703125,0.4884999990463257,0.45750001072883606,0.41850000619888306,0.3456999957561493,0.45750001072883606,0.41850000619888306,0.349700003862381,0.46209999918937683,0.3871999979019165,0.3515999913215637,0.5526000261306763,0.49720001220703125,0.4936999976634979,0.6547999978065491,0.6177999973297119,0.5878999829292297
Calinski-Harabasz,560.3999,529.1207,494.0944,242.996,210.2697,204.8277,242.996,210.2697,208.0562,238.9244,205.95,202.5625,560.4,529.1208,491.0789,1167.4515,1352.6687,1416.9294
Davies-Bouldin,0.6623,0.776,0.8062,0.8385,0.9307,0.9594,0.8385,0.9307,0.9621,0.834,0.8656,0.9281,0.6623,0.776,0.8132,0.4872,0.5292,0.6077
